in Hz,in Hz,,,Spitze-Spitze-Abstand in Volt,,,,Spitze-Spitze-Abstand in Volt,,Zeitskala in ms,Periodendauer Channel 1 in Kästchen,Verschiebung zwischen Channel 1 und Channel 2 in Kästchen,,Zeitliche Verschiebung zwischen den Sin-förmigen Signalen in ms,Zeitliche Verschiebung zwischen den Sin-förmigen Signalen in ms (Unsicherheit),,
Frequenz,df,Auflösung (V),Kästchen,U_Ch1,dU_Ch1,Auflösung (mV),Kästchen,U_Ch2,dU_Ch2,t,t_Ch1K,t_VerK,dphi_Kasten,phi,dphi,phi_besser,dphi_besser
209.2,0.05,2,19,38,1,5,11.5,0.0575,0.0025,1,24,6,1,1.57,0.27,,
317.57,0.05,2,19,38,1,5,21,0.105,0.0025,1,15.5,1,1,0.41,0.41,0.43,0.481015405
388.17,0.05,2,19,38,1,5,30,0.15,0.0025,1,12.5,0.5,1,0.25,0.50,0.26,0.536220217
431.22,0.05,2,20,40,1,5,37,0.185,0.0025,1,11.5,6.5,1,3.55,0.63,0.43,0.746007354
513.05,0.05,1,18.5,18.5,0.5,5,29,0.145,0.0025,0.5,19,11,1,3.64,0.38,0.54,0.4940267
565.43,0.05,1,14,14,0.5,5,32.5,0.1625,0.0025,0.5,18,10,1,3.49,0.40,0.36,0.452216239
668.53,0.05,0.5,11,5.5,0.25,5,36,0.18,0.0025,0.5,15,0.5,1,0.21,0.42,0.21,0.438047254
623.49,0.05,0.5,11.5,5.75,0.25,5,22.5,0.1125,0.0025,0.5,16,1,1,0.39,0.39,0.41,0.460973302
623.49,0.05,0.5,10.5,5.25,0.25,5,38.5,0.1925,0.0025,0.5,15,0.5,1,0.21,0.42,0.21,0.438047254
724.26,0.05,0.5,11,5.5,0.25,5,32,0.16,0.0025,0.5,13.5,0.5,1,0.23,0.47,0.24,0.491901368
809.02,0.05,0.5,12.5,6.25,0.25,5,16.5,0.0825,0.0025,0.5,12,6.5,1,3.40,0.60,0.27,0.638231097
878.64,0.05,0.5,12,6,0.25,5,11.5,0.0575,0.0025,0.5,11.5,1,2,0.55,1.10,0.61,1.502469229
950.81,0.05,0.5,18,9,0.25,5,13,0.065,0.0025,0.5,10.5,6,1,3.59,0.69,0.48,0.849042907
1070.5,0.1,0.5,18,9,0.25,5,9,0.045,0.0025,0.5,9,1,2,0.70,1.40,0.84,2.393998303
1130.5,0.1,0.5,18,9,0.25,5,8,0.04,0.0025,0.5,8.5,6,1,4.44,0.90,3.51,12.08158278
1242.1,0.1,0.5,18,9,0.25,5,7,0.035,0.0025,0.5,8,-1,1,-0.79,0.79,-1.00,1.583020607
1311.1,0.1,0.5,18,9,0.25,5,6,0.03,0.0025,0.5,7.5,-0.5,1,-0.42,0.84,-0.45,1.00605388
1412.1,0.1,0.5,18,9,0.25,5,5.5,0.0275,0.0025,0.5,7,-0.5,1,-0.45,0.90,-0.48,1.108580759
1519.8,0.1,0.5,18,9,0.25,5,5,0.025,0.0025,0.5,6.5,-0.5,1,-0.48,0.97,-0.52,1.236555532
776.09,0.05,0.5,18,9,0.25,5,29.5,0.1475,0.0025,0.5,13,0,1,0.00,0.48,0.00,0.483321947
600.37,0.05,0.5,17,8.5,0.25,5,26,0.13,0.0025,0.5,16.5,0,1,0.00,0.38,0.00,0.38079911
400.6,0.05,0.5,18,9,0.25,5,7.5,0.0375,0.0025,0.5,25,-1,1,-0.25,0.25,-0.26,0.268110109
263.2,0.05,0.5,18,9,0.25,5,4,0.02,0.0025,2,9.5,-1,1,-0.66,0.67,-0.78,1.067924177
999.31,0.05,0.5,18,9,0.25,5,11,0.055,0.0025,0.5,10,0,1,0.00,0.63,0.00,0.628318531
684.42,0.05,0.5,10,5,0.25,5,39,0.195,0.0025,0.5,14.5,0,1,0.00,0.43,0.00,0.433323125
